T/s,Alt/m,vrel/(m/s),Downrange/m
-90.000,48.5,0,0
-10.000,48.5,0,0
-1.000,48.5,0,0
-0.100,48.5,0,0
-0.010,48.5,0,0
-0.001,48.5,0,0
0.000,48.5,0.002,0
0.960,50.3,3.646,0.09504164755
1.920,55.5,8.019,0
2.880,65.7,13.111,0
3.840,80.7,18.496,0
4.800,101.2,24.39,0.1646169624
5.760,127.5,30.645,1.778066413
6.720,159.8,37.039,5.107549104
7.680,198.1,43.504,10.08292893
8.640,242.5,50.02,16.67324158
9.600,293.1,56.621,24.78127809
10.560,349.7,63.301,34.80743828
11.520,412.6,70.068,46.66748136
12.480,481.7,76.949,60.8062319
13.440,557.0,83.942,77.40213016
14.400,638.7,91.063,96.82980931
15.360,726.6,98.288,119.4124834
16.320,820.9,105.635,145.2820937
17.280,921.5,113.106,174.8823907
18.240,1028.5,120.666,208.3962756
19.200,1141.8,128.347,245.9927916
20.160,1261.5,136.093,288.0457241
21.120,1387.5,143.899,334.4046008
22.080,1519.9,151.769,385.466005
23.040,1658.6,159.655,441.1419168
24.000,1803.5,167.589,501.5903427
24.960,1954.7,175.532,566.952322
25.920,2112.0,183.448,637.2327508
26.880,2275.4,191.342,712.4229157
27.840,2444.9,199.236,792.5956192
28.800,2620.4,207.058,877.8924709
29.760,2801.8,214.802,968.0879714
30.720,2989.0,222.53,1063.323924
31.680,3181.9,230.147,1163.667229
32.640,3380.4,237.706,1268.891923
33.600,3584.4,245.181,1379.286018
34.560,3793.8,252.556,1494.548113
35.520,4008.6,259.845,1614.896413
36.480,4228.5,267.014,1740.099692
37.440,4453.5,274.139,1870.231112
38.400,4683.5,281.189,2005.357919
39.360,4918.5,288.127,2145.408888
40.320,5158.2,295.02,2290.299121
41.280,5402.6,301.84,2440.180279
42.240,5651.8,308.614,2594.829445
43.200,5905.5,315.373,2754.460929
44.160,6163.8,322.091,2918.928734
45.120,6426.6,328.864,3088.301959
46.080,6693.9,335.643,3262.726455
47.040,6965.8,342.444,3442.056915
48.000,7242.2,349.279,3626.43955
48.960,7523.2,356.165,3815.722284
49.920,7808.9,363.157,4010.0657
50.880,8099.2,370.243,4209.463487
51.840,8394.4,377.482,4413.986068
52.800,8694.4,384.84,4623.786902
53.760,8999.5,392.39,4838.790684
54.720,9309.7,400.164,5059.366147
55.680,9625.1,408.077,5285.514229
56.640,9945.9,416.223,5517.305794
57.600,10272.3,424.582,5755.033801
58.560,10604.3,433.156,5998.699527
59.520,10942.1,441.989,6248.601692
60.480,11285.8,451.059,6504.881747
61.440,11635.7,460.431,6767.762702
62.400,11991.7,470.078,7037.613374
63.360,12354.1,480.021,7314.57595
64.320,12722.9,490.277,7599.099797
65.280,13098.3,500.818,7891.402507
66.240,13480.4,511.709,8191.848176
67.200,13869.2,522.85,8500.885214
68.160,14264.8,534.28,8818.585167
69.120,14667.3,546.09,9145.537492
70.080,15076.8,558.176,9482.106233
71.040,15493.3,570.557,9828.588271
72.000,15916.7,583.252,10185.42268
72.960,16347.3,596.255,10552.97725
73.920,16784.9,609.561,10931.69111
74.880,17229.5,623.167,11321.93192
75.840,17681.1,637.041,11724.13886
76.800,18139.8,651.207,12138.60767
77.760,18605.4,665.69,12565.84915
78.720,19077.9,680.382,13006.2307
79.680,19557.2,695.281,13459.97309
80.640,20043.4,710.438,13927.44102
81.600,20536.3,725.773,14409.00377
82.560,21035.8,741.313,14904.80724
83.520,21541.8,757.083,15415.2884
84.480,22054.4,773.003,15940.66946
85.440,22573.3,789.073,16481.17026
86.400,23098.5,805.322,17037.00743
87.360,23629.9,821.72,17608.47644
88.320,24167.4,838.271,18195.72149
89.280,24710.9,854.916,18799.03496
90.240,25260.2,871.684,19418.41719
91.200,25815.4,888.575,20054.233
92.160,26376.1,905.528,20706.48149
93.120,26942.4,922.601,21375.38267
94.080,27514.2,939.765,22061.08105
95.040,28091.2,956.926,22763.72205
96.000,28673.4,974.08,23483.23141
96.960,29260.6,991.252,24219.75393
97.920,29852.7,1008.377,24973.28874
98.880,30449.4,1025.418,25743.83411
99.840,31050.7,1042.336,26531.31562
100.800,31656.4,1059.095,27335.65815
101.760,32266.2,1075.654,28156.71336
102.720,32880.0,1091.974,28994.33293
103.680,33497.5,1108.043,29848.29499
104.640,34118.5,1123.855,30718.4511
105.600,34742.8,1139.335,31604.57953
106.560,35370.0,1154.412,32506.38474
107.520,35999.9,1169.108,33423.49855
108.480,36632.2,1183.445,34355.69881
109.440,37266.6,1197.224,35302.69064
110.400,37902.8,1210.47,36263.81175
111.360,38540.4,1223.207,37238.84097
